TransactionID,Date,ProductID,Quantity,UnitPrice,TotalPrice
TRX00001,4/9/2025,PRD040,1,1227.77,
TRX00002,2/12/2025,PRD037,4,1150.44,
TRX00002,2/12/2025,PRD028,2,1241.21,
TRX00002,2/12/2025,PRD014,2,2721.74,
TRX00002,2/12/2025,PRD032,1,986.79,
TRX00003,7/6/2025,PRD028,5,1241.21,
TRX00003,7/6/2025,PRD036,1,2253.07,
TRX00003,7/6/2025,PRD003,1,1838.39,
TRX00003,7/6/2025,PRD004,5,2182.48,
TRX00003,7/6/2025,PRD006,3,2249.18,
TRX00004,8/5/2025,PRD028,5,1241.21,
TRX00004,8/5/2025,PRD011,1,1993.31,
TRX00005,5/12/2025,PRD018,4,2305.43,
TRX00005,5/12/2025,PRD034,5,2384.44,
TRX00005,5/12/2025,PRD007,3,1154.79,
TRX00005,5/12/2025,PRD012,5,1388.37,
TRX00005,5/12/2025,PRD017,4,2564.5,
TRX00006,8/12/2025,PRD002,5,2509.68,
TRX00006,8/12/2025,PRD035,3,1001.65,
TRX00006,8/12/2025,PRD001,2,1622.49,
TRX00006,8/12/2025,PRD003,2,1838.39,
TRX00006,8/12/2025,PRD029,5,2033.75,
TRX00007,2/26/2025,PRD029,2,2033.75,
TRX00007,2/26/2025,PRD019,4,1419.57,
TRX00007,2/26/2025,PRD030,1,1992.7,
TRX00007,2/26/2025,PRD014,2,2721.74,
TRX00008,4/7/2025,PRD017,1,2564.5,
TRX00009,8/2/2025,PRD010,1,1575.15,
TRX00010,6/3/2025,PRD013,1,1662.72,
TRX00010,6/3/2025,PRD035,4,1001.65,
TRX00011,6/20/2025,PRD037,2,1150.44,
TRX00012,7/4/2025,PRD017,1,2564.5,
TRX00012,7/4/2025,PRD030,4,1992.7,
TRX00013,8/15/2025,PRD006,4,2249.18,
TRX00013,8/15/2025,PRD019,3,1419.57,
TRX00014,2/8/2025,PRD035,4,1001.65,
TRX00014,2/8/2025,PRD020,4,2379.25,
TRX00014,2/8/2025,PRD040,3,1227.77,
TRX00015,5/31/2025,PRD011,2,1993.31,
TRX00016,6/18/2025,PRD031,1,1354.36,
TRX00016,6/18/2025,PRD003,5,1838.39,
TRX00016,6/18/2025,PRD040,2,1227.77,
TRX00017,3/6/2025,PRD004,1,2182.48,
TRX00018,3/18/2025,PRD006,4,2249.18,
TRX00018,3/18/2025,PRD029,2,2033.75,
TRX00018,3/18/2025,PRD023,5,2792.54,
TRX00018,3/18/2025,PRD037,3,1150.44,
TRX00019,5/22/2025,PRD024,3,2634.53,
TRX00019,5/22/2025,PRD040,5,1227.77,
TRX00020,1/11/2025,PRD024,5,2634.53,
TRX00020,1/11/2025,PRD013,5,1662.72,
TRX00020,1/11/2025,PRD002,1,2509.68,
TRX00021,4/25/2025,PRD030,2,1992.7,
TRX00021,4/25/2025,PRD038,2,2988.3,
TRX00022,6/20/2025,PRD023,3,2792.54,
TRX00022,6/20/2025,PRD019,4,1419.57,
TRX00022,6/20/2025,PRD014,1,2721.74,
TRX00023,2/20/2025,PRD021,2,2675.95,
TRX00023,2/20/2025,PRD032,5,986.79,
TRX00023,2/20/2025,PRD026,5,1805.91,
TRX00024,2/3/2025,PRD028,4,1241.21,
TRX00025,5/19/2025,PRD011,4,1993.31,
TRX00026,2/5/2025,PRD008,4,1830.72,
TRX00026,2/5/2025,PRD030,3,1992.7,
TRX00026,2/5/2025,PRD016,5,1852.35,
TRX00026,2/5/2025,PRD007,3,1154.79,
TRX00027,6/28/2025,PRD017,3,2564.5,
TRX00027,6/28/2025,PRD001,1,1622.49,
TRX00027,6/28/2025,PRD009,5,1510.4,
TRX00027,6/28/2025,PRD030,1,1992.7,
TRX00027,6/28/2025,PRD034,4,2384.44,
TRX00028,8/13/2025,PRD009,5,1510.4,
TRX00028,8/13/2025,PRD027,2,830.04,
TRX00029,6/3/2025,PRD023,1,2792.54,
TRX00030,8/25/2025,PRD036,1,2253.07,
TRX00030,8/25/2025,PRD014,2,2721.74,
TRX00030,8/25/2025,PRD003,1,1838.39,
TRX00031,1/19/2025,PRD004,2,2182.48,
TRX00031,1/19/2025,PRD018,3,2305.43,
TRX00031,1/19/2025,PRD009,1,1510.4,
TRX00032,5/2/2025,PRD029,4,2033.75,
TRX00032,5/2/2025,PRD011,2,1993.31,
TRX00032,5/2/2025,PRD005,2,2552.49,
TRX00033,5/4/2025,PRD034,2,2384.44,
TRX00034,1/17/2025,PRD026,3,1805.91,
TRX00035,5/6/2025,PRD010,4,1575.15,
TRX00035,5/6/2025,PRD014,1,2721.74,
TRX00036,1/8/2025,PRD012,1,1388.37,
TRX00036,1/8/2025,PRD003,3,1838.39,
TRX00036,1/8/2025,PRD027,3,830.04,
TRX00036,1/8/2025,PRD030,4,1992.7,
TRX00036,1/8/2025,PRD005,5,2552.49,
TRX00037,8/29/2025,PRD012,1,1388.37,
TRX00037,8/29/2025,PRD018,4,2305.43,
TRX00038,8/25/2025,PRD034,2,2384.44,
TRX00039,5/3/2025,PRD008,1,1830.72,
TRX00039,5/3/2025,PRD005,1,2552.49,
TRX00039,5/3/2025,PRD032,5,986.79,
TRX00039,5/3/2025,PRD038,2,2988.3,
TRX00039,5/3/2025,PRD017,2,2564.5,
TRX00040,5/17/2025,PRD008,4,1830.72,
TRX00040,5/17/2025,PRD014,4,2721.74,
TRX00041,4/22/2025,PRD006,5,2249.18,
TRX00041,4/22/2025,PRD028,4,1241.21,
TRX00041,4/22/2025,PRD025,1,1280.79,
TRX00041,4/22/2025,PRD035,1,1001.65,
TRX00041,4/22/2025,PRD011,2,1993.31,
TRX00042,8/10/2025,PRD025,2,1280.79,
TRX00042,8/10/2025,PRD039,3,629.28,
